#Sun Oct 30 08:26:39 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
              43          -149.1           47.97
              44          -117.2            68.3
              45          -173.4           57.47
              46          -123.2           54.19
              47          -171.3            56.8
              48          -132.6           57.21
              49          -87.13           85.48
              50          -174.6           58.46
              51           -78.5           56.17
              52          -60.79           77.63
              53          -170.3           56.33
              54          -201.2           62.71
              55          -132.7           66.47
              56          -167.7           48.27
              57          -156.5           47.72
              58          -169.3           45.48
              59          -146.4            52.5
              60          -120.2           73.31
              61          -189.8           61.12
              62          -119.5           66.22
              63          -157.7           51.97
              64          -127.6           61.62
              65         -0.8261            63.7
              66          -39.47           50.24
              67          -132.4           40.98
              68          -66.65           40.34
              69          -7.692           60.76
              70          -125.3           32.73
              71            -133              34
              72          -84.92           26.81
              73          -43.29           64.42
              74          -85.73           52.34
              75          -117.9           29.97
              76             -97           22.96
              77          -19.07           92.62
              78          -144.2           42.31
              79          -143.9           41.03
              80          -119.1           51.99
              81          -31.45           51.46
              82          -100.5           31.75
              83          -92.67            31.3
              84           -20.6           67.69
              85          -70.19           56.81
              86          -118.4           47.79
              87          -147.9           37.41
              88          -85.75           26.73
              89          -23.95           64.23
              90          -115.5           29.57
              91          -103.7           30.55
              92          -51.08            49.6
              93             -17           80.46
              94          -165.5           44.75
              95          -136.2           43.55
              96             -37           48.04
              97          -34.18           48.87
              98          -77.93           45.94
              99          -128.4           34.09
             100          -39.48           48.25
             101          -36.76           75.87
             102          -105.3           68.65
             103          -138.9           41.09
             104          -48.04           52.21
             105          -45.38           58.04
             106          -125.6           33.09
             107          -144.3            37.5
             108          -21.48           59.51
             109          -52.67           69.83
             110          -158.8           50.35
             111          -138.3           46.41
             112           -62.3            50.6
             113            -4.5            67.9
             114            -106           27.42
             115           -71.2           37.06
             116             -51           51.17
             117          -77.57           66.97
             118          -83.97           58.01
             119          -138.5           34.62
             120          -75.24            42.1
             121          -32.67           79.75
             122          -149.3           38.66
             123          -158.9           41.66
             124          -60.63           40.99
             125          -53.41           78.16
             126          -153.9           52.69
             127          -142.6           47.25
APV               20              11               7               4
               0          -105.4           43.94
               1          -57.22           43.37
               2          -95.62           75.53
               3             131           74.33
               4             -77           25.26
               5          -73.33            36.2
               6              -9           84.85
               7           95.25           56.66
               8          -3.222           50.47
               9          -163.6           40.24
              10             174            61.8
              11           70.29           51.45
              12           67.11           68.76
              13          -74.11           24.91
              14           87.86           59.36
              15           94.76           62.84
              16          -75.22           42.09
              17          -72.11           33.03
              18          -17.78           78.01
              19          -3.353           29.54
              20          -99.67           35.36
              21          -85.11           35.76
              22          -38.38           60.06
              23           53.44           40.84
              24          -24.71            68.1
              25          -144.6           46.77
              26           126.2           52.24
              27           79.14           60.28
              28          -10.44           15.79
              29          -107.1           31.43
              30            60.2           48.68
              31          -58.53           58.69
              32          -107.4           48.83
              33          -72.44           35.68
              34          -25.24           81.19
              35          -24.88           40.62
              36          -90.56           30.53
              37          -82.78           36.34
              38          -36.57           82.33
              39            82.6           57.73
              40          -5.933           71.11
              41          -145.8           43.61
              42           118.8           55.35
              43              48           51.39
              44          -21.67           21.21
              45          -103.9           31.36
              46              73           63.35
              47          -66.65           62.14
              48            -101            44.5
              49             -63           38.89
              50          -23.88           60.96
              51           60.76           31.44
              52             -66           28.23
              53          -130.2           35.23
              54           40.12           55.56
              55           11.33           25.21
              56           61.56           56.76
              57          -99.78           35.95
              58           85.15           54.96
              59           28.23           45.38
              60          -1.556           32.77
              61          -78.44           27.93
              62           73.67           69.48
              63             -41           58.41
              64          -108.1           45.11
              65          -93.22           39.93
              66           31.29           61.92
              67          -73.11           38.94
